Sample,X(ms) [01.01.2012 00:40:29 721 UTC],"InstAGV.instMoveCtrlDiff.trackValues.trackDeviation.x","InstAGV.instMoveCtrlDiff.trackValues.trackDeviation.y","InstAGV.instMoveCtrlDiff.trackValues.trackDeviation.a","frontPGV.xPosition","InstAGV.instMoveCtrlDiff.vCurrent.x","InstAGV.instMoveCtrlDiff.vCurrent.a"
4091,1325378470641.404584,0,8.80000019073486,-0.5,4252.7,301.399353027344,0.0420454517006874
4092,1325378470651.423680,0,9.19999980926514,0.100000001490116,4257.2,308.444122314453,-0.546590864658356
4093,1325378470661.460176,0,9.30000019073486,0.100000001490116,4260.2,306.095855712891,0.630681753158569
4094,1325378470675.037136,0,9.39999961853027,0.100000001490116,4263.2,307.857055664063,-0.0840909034013748
4095,1325378470681.343768,0,9.39999961853027,0.200000002980232,4266.2,313.023223876953,-0.0840909034013748
4096,1325378470691.362216,0,9.60000038146973,-0.29998779296875,4268.6,313.023223876953,-0.0840909034013748
4097,1325378470701.343672,0,9.69999980926514,-0.20001220703125,4271.6,313.610290527344,0.378409117460251
4098,1325378470711.404624,0,9.69999980926514,-0.20001220703125,4274.6,303.277954101563,1.63977265357971
4099,1325378470721.362176,0,9.80000019073486,-0.20001220703125,4277.5,297.524719238281,1.17727279663086
4100,1325378470731.567648,0,9.5,-0.399993896484375,4281.6,288.131652832031,1.42954552173615
4101,1325378470741.406192,0,9.5,-0.399993896484375,4284.6,294.941619873047,0.336363613605499
4102,1325378470751.381832,0,9.60000038146973,-0.399993896484375,4287.6,295.763519287109,1.30340898036957
4103,1325378470761.410640,0,9.60000038146973,-0.399993896484375,4290.6,295.998352050781,0.714772760868073
4104,1325378470775.040336,0,9.10000038146973,-0.399993896484375,4295.5,295.763519287109,-0.0420454517006874
4105,1325378470781.362632,0,9.10000038146973,-0.399993896484375,4298.6,291.536651611328,2.564772605896
4106,1325378470791.362952,0,9.10000038146973,-0.399993896484375,4301.8,292.828186035156,0.672727227210999
4107,1325378470801.456560,0,9.19999980926514,-0.399993896484375,4304.9,292.828186035156,0.672727227210999
4108,1325378470811.396832,0,8.19999980926514,-0.399993896484375,4305.8,292.710784912109,1.47159099578857
4109,1325378470821.330584,0,8.19999980926514,-0.399993896484375,4308.9,296.702819824219,-0.294318199157715
4110,1325378470831.388944,0,8.19999980926514,-0.399993896484375,4311.9,296.467987060547,-0.0420454517006874
4111,1325378470841.380976,0,8.10000038146973,-0.399993896484375,4315,297.994354248047,-1.09318172931671
4112,1325378470851.358848,0,7.80000019073486,-0.399993896484375,4316.5,298.346588134766,-0.798863708972931
4113,1325378470861.344160,0,7.69999980926514,-0.399993896484375,4319.5,297.876953125,-0.967045426368713
4114,1325378470874.997480,0,7.69999980926514,-0.399993896484375,4322.5,297.289886474609,-0.924999952316284
4115,1325378470881.572568,0,7.59999990463257,-0.399993896484375,4325.5,295.646087646484,-1.42954552173615
4116,1325378470891.362208,0,8.19999980926514,-0.70001220703125,4326.7,295.646087646484,-1.42954552173615
4117,1325378470901.358320,0,8.10000038146973,-0.70001220703125,4329.5,294.82421875,-1.63977265357971
4118,1325378470911.413136,0,8.10000038146973,-0.70001220703125,4332.4,295.528686523438,-0.546590864658356
4119,1325378470921.377504,0,8,-0.70001220703125,4335.2,297.759521484375,-1.17727279663086
4120,1325378470931.359008,0,9.5,-0.600006103515625,4338.2,304.452087402344,-0.546590864658356
4121,1325378470941.340112,0,9.5,-0.600006103515625,4341,303.865020751953,-0.756818234920502
4122,1325378470951.318144,0,9.5,-0.600006103515625,4343.9,305.861022949219,-1.47159099578857
4123,1325378470961.472576,0,9.60000038146973,-0.600006103515625,4346.7,308.209289550781,-0.8829545378685
4124,1325378470975.085472,0,10.8000001907349,-0.20001220703125,4350,307.504821777344,0.546590864658356
4125,1325378470981.396912,0,10.8999996185303,-0.20001220703125,4352.8,315.723724365234,-1.72386360168457
4126,1325378470991.358464,0,11,-0.20001220703125,4355.7,315.723724365234,-1.72386360168457
